Nouvelle Vague - I Wanna Be Sedated,Nouvelle Vague,electronic
Aly & AJ - Chemicals React,Aly & AJ,pop
Mother Mother - Happy,Mother Mother,pop
A Perfect Circle - 3 Libras,A Perfect Circle,rock
Trogdor the burninator!!!!!!!!!,The Bearded Bard,other
Cults - High Road,Cults,dance
The Killers - Shot At The Night,The Killers,rock
Master Chief vs Leonidas. Epic Rap Battles of History,Epic Rap Battles of History,pop
Blue Stahli - Ready For Battle,Blue Stahli,rock
Nujabes - Imaginary Folklore,Various Artists,other
Kansas Carry on my Wayward son,Akustische Gitarren Musik,other
Eiffel 65 - I'm Blue,I'm Blue,other
Styx - Renegade,Styx,rock
Anti-Venom - USS (Ubiquitous Synergy Seeker),USS (Ubiquitous Synergy Seeker),rock
andrew bird nomenclature,Andrew Bird,pop
Iggy Pop & The Stooges - Gimme Danger,The Stooges,rock
Metallica - Whiskey in the jar,Metallica,rock
Nirvana - Aneurysm (Live at Reading 1992),Nirvana,rock
The Kooks - She Moves In Her Own Way,The Kooks,rock
Guns N' Roses - Paradise City,Guns N' Roses,rock
Enter Sandman - Metallica,Metallica,rock
The Kooks - Ooh La,The Kooks,rock
Florence + The Machine - You've Got the Love,Florence + The Machine,pop
The Doors - People Are Strange,The Doors,rock
Nirvana - You Know You're Right,Nirvana,rock
Ulver - Not saved,Ulver,rock
Atari Teenage Riot - Destroy  2000 years of culture,Atari Teenage Riot,rock
Marshall Jefferson - Move Your Body,Marshall Jefferson,dance
Guttermouth - I'm Destroying the World,Guttermouth,rock
Cash Out - Cashing Out,Slump Musiq,other
Ulver - Not saved,Ulver,rock
Madvillain - All Caps,Madvillain,hip hop
Hip Hop Drummers,Afu-Ra,hip hop
Slagsmålsklubben - Tjeckien Slovakien Och Tillbaks Igen,Slagsmålsklubben,pop
Yukari's Theme - Necrofantasia,Music Legends,other
Add it up - Violent Femmes,Violent Femmes,rock
Edward Elgar - Cello Concerto in E minor Op.85,Jacqueline du Pré,classic
Hebrides Overture (Fingal's Cave') Op. 26,Felix Mendelssohn,classic
Red hot chili peppers - Wet sand,Red Hot Chili Peppers,rock
Last Kiss - Pearl Jam,Pearl Jam,rock
les histoires d'a rita mitsouko,Les Rita Mitsouko,pop
The Chemical Brothers - Container Park,The Chemical Brothers,dance
A Study in Perspective,Wayne Szalinski,other
The Kooks - If Only,The Kooks,rock
Neck Deep - Kick It,Neck Deep,rock
Chunk! No captain Chunk! - In Friends We Trust,Chunk! No, Captain Chunk!,rock
For The Win - Break the Ice,For The Win,rock
Genres:
rock,25
hip hop,2
pop,7
electronic,1
r&b,0
dance,3
folk,0
jazz,0
classic,2
soundtrack,0
other,7
