Watsky- Strong as an Oak [Cardboard Castles],Watsky,hip hop
Elder - The End,ReptileLegit,pop
Ashes In The Snow - Mono,MONO,rock
Duke Ellington -- Tang,Duke Ellington,classic
SOIL & "PIMP" SESSIONS "Summer Goddess",Soil & "Pimp" Sessions,jazz
alt-J (∆) Breezeblocks,alt-J,rock
Monetrik - Blues Soup,Various Artists,other
Moonlight Sonata,Various Artists,other
Missed Me - The Dresden Dolls,The Dresden Dolls,rock
BOA - I Did it For Love,BoA,pop
Coldplay - Daylight,Coldplay,pop
Menomena - Weird,Menomena,folk
Van Halen - Dreams,Van Halen,rock
Phantogram - Mouthful Of Diamonds,Phantogram,dance
David Bowie - Subterraneans - Low,David Bowie,rock
Pavement - Summer Babe (Winter Version),Pavement,rock
Best Of Jill Hives,Guided By Voices,pop
Aneka - Japanese Boy,Aneka,other
Nickelback - How You Remind Me,Nickelback,rock
Of Monsters and Men - Lakehouse,Of Monsters and Men,pop
Bon Jovi - Because We Can,Bon Jovi,rock
What Am I To You,Norah Jones,jazz
William Fitzsimmons - "Everything Has Changed",William Fitzsimmons,pop
Ray LaMontagne - You Are The Best Thing,Ray LaMontagne,pop
Morphine - Cure for Pain,Morphine,rock
Tera Melos - Sunburn,Tera Melos,rock
Foxy Shazam - I Like It,Foxy Shazam,rock
Corrosion Of Conformity - Drowning In a Daydream,Corrosion Of Conformity,rock
Telefon Tel Aviv - Sound In a Dark Room,Telefon Tel Aviv,electronic
THROWDOWN - Baby Got back,Various Artists,other
Fiona Apple - "Across The Universe",Various Artists,other
muse - feeling good,Muse,rock
microKORG XL,Zippy Kid,other
He Is We- Prove You Wrong,He Is We,rock
Mumford & Sons - The Cave,Mumford & Sons,rock
Tammy Wynette-Stand By Your Man (60's),AVID All Stars,other
Teenage Jesus and the Jerks - My Eyes,Teenage Jesus & The Jerks,rock
You and Me - Alice Cooper,Alice Cooper,rock
Better Now - Collective Soul,Collective Soul,rock
James Blake - To Care,James Blake,jazz
Nujabes - Kumomi,Nujabes,hip hop
Itch with a B.,Eminem,hip hop
Kenji - Fort Minor,Fort Minor,rock
A Good One - "After The Rain",Nelson,rock
Voltaire- BRAINS!,Aurelio Voltaire,pop
Voltaire - The Chosen,Aurelio Voltaire,pop
Counting Crows - Perfect Blue Buildings,Counting Crows,rock
Reel Big Fish - Sell Out,Reel Big Fish,rock
Freestyle Fellowship,Freestyle Fellowship,hip hop
Dir en Grey - Hageshisa To Kono Mune No Naka De Karamitsuita Shakunetsu No Yami,Dir En Grey,rock
Muse - Unnatural Selection,Muse,rock
Best Coast "When I'm With You",Best Coast,pop
School of Seven Bells - "Half Asleep",School Of Seven Bells,pop
Life Goes On - Tupac,2Pac,hip hop
Rihanna - We Ride,Rihanna,pop
2pac- Fame,2Pac,hip hop
kiss - Christine sixteen (Love gun),KISS,rock
SPAWN OF POSSESSION - "Where Angels Go Demons Follow",Spawn of Possession,rock
edie brickell - what i am,Edie Brickell & New Bohemians,folk
Blue October - Dirt Room,Blue October,rock
God Is An Astronaut - Darkfall,God Is An Astronaut,rock
Die Ärzte wie es geht,Die Ärzte,rock
The Stranger Billy Joel,Billy Joel,rock
Moondance (With Piano),Amazing Chill Out Jazz Paradise,other
Korn 'Narcissistic Cannibal (feat Skrillex and Kill the Noise)',Korn,rock
Snow Patrol - How to be Dead,Snow Patrol,rock
The Mountain Goats - Up The Wolves,The Mountain Goats,rock
Nine Inch Nails - Came Back Haunted,Nine Inch Nails,rock
Rise Against - The Art of Losing,Rise Against,rock
Ben Nichols - The Last Pale Light In The West,Ben Nichols,other
Fightstar Amaze Us,Fightstar,rock
Mumford & Sons - The Cave,Mumford & Sons,rock
Al Green - Let's Stay Together,Al Green,jazz
Lisa Hannigan - I Don't Know,Lisa Hannigan,pop
Under Pressure,Queen,rock
Rumi Poems,Deepak Chopra,other
Dark Sanctuary Summoning Of The Muse,Dark Sanctuary,folk
Nero - Crush On You,NERO,electronic
Florence + The Machine - Cosmic Love,Florence + The Machine,pop
Million Stylez - Miss Fatty,Various Artists,other
Look Away-Thousand Foot Krutch,Thousand Foot Krutch,rock
Genres:
rock,39
hip hop,6
pop,14
electronic,2
r&b,0
dance,1
folk,3
jazz,4
classic,1
soundtrack,0
other,11
