Every Morning - Sugar Ray,Sugar Ray,rock
Wintersun - Sleeping Stars,Wintersun,rock
Lusine - Double Vision,Lusine,electronic
AFI "Medicate",AFI,rock
The Cure - To Wish Impossible Things,The Cure,rock
True Love Waits - Radiohead,Radiohead,rock
Iron Maiden - Different World,Iron Maiden,rock
Iron Maiden - Different World,Iron Maiden,rock
Europahymne,Ludwig van Beethoven,classic
You Always Hurt The One You Love - The Mills Brothers,The Mills Brothers,jazz
My Dying Bride - My Body A Funeral,My Dying Bride,rock
Winger - Seventeen,Winger,rock
Shiny Toy Guns - Stripped,Shiny Toy Guns,dance
Gone With The Wind (Tara's Theme) -1939,Manuel & The Music Of The Mountains,pop
Eels - Manchild,Eels,rock
Chasing Furies - Thicker,Chasing Furies,other
Avicii - Silhouettes,Avicii,pop
Avicii - Silhouettes,Avicii,pop
Avicii - Silhouettes,Avicii,pop
Streetlight Manifesto - Dear Sergio,Streetlight Manifesto,rock
Solitude Aeturnus - Falling,Solitude Aeturnus,rock
Liquid Tension Experiment - Paradigm Shift,Liquid Tension Experiment,rock
Blotted Science - Synaptic Plasticity,Blotted Science,rock
Brain Fingerprinting - Blotted Science,Blotted Science,rock
Deep Purple - Child In Time - 1970,Deep Purple,rock
Candlemass - At The Gallows End,Candlemass,rock
New Order - All The Way,New Order,rock
Bruce Springsteen-Atlantic City,Bruce Springsteen,rock
Pendulum - Slam,Pendulum,dance
Westlife -  I Wanna Grow Old With You,Westlife,pop
Furious Angel (Instrumental),Various Artists,other
Genres:
rock,19
hip hop,0
pop,5
electronic,1
r&b,0
dance,2
folk,0
jazz,1
classic,1
soundtrack,0
other,2
